created_at,entry_id,field1,field2,field3
2025-04-24 10:29:15 UTC,1,28.9,61.0,84
2025-04-24 10:29:31 UTC,2,28.9,62.0,84
2025-04-24 10:29:47 UTC,3,28.9,63.0,84
2025-04-24 10:30:03 UTC,4,29.3,68.0,78
2025-04-24 10:30:19 UTC,5,29.3,72.0,78
2025-04-24 10:30:35 UTC,6,29.8,73.0,84
2025-04-24 10:30:51 UTC,7,29.8,74.0,84
2025-04-24 10:31:08 UTC,8,29.8,74.0,84
2025-04-24 10:31:24 UTC,9,30.2,72.0,84
2025-04-24 10:31:40 UTC,10,30.2,71.0,84
2025-04-24 10:31:56 UTC,11,30.2,71.0,78
2025-04-24 10:32:12 UTC,12,30.2,71.0,84
2025-04-24 10:32:29 UTC,13,30.2,71.0,42
2025-04-24 10:32:45 UTC,14,30.2,67.0,6
2025-04-24 10:33:01 UTC,15,29.8,64.0,0
2025-04-24 10:33:20 UTC,16,29.8,61.0,0
2025-04-24 10:33:36 UTC,17,29.8,58.0,6
2025-04-24 10:33:57 UTC,18,29.8,57.0,36
2025-04-24 10:34:19 UTC,19,29.3,55.0,30
